size,faiss_time,fgc_time,count
1000,20.70528268814087,394.0814733505249,4
2000,4.322230815887451,272.8373408317566,4
3000,5.067169666290283,442.08991527557373,4
4000,7.12817907333374,591.143548488617,4
5000,7.005810737609863,821.2159276008608,4
6000,6.801843643188477,976.2929081916807,4
7000,7.399141788482666,1146.8427777290342,4
8000,6.679117679595947,1060.1037740707397,4
9000,5.550801753997803,759.9751949310303,4
10000,6.312966346740723,922.875702381134,4
20000,14.598727226257324,2601.28790140152,4
30000,32.56720304489136,4177.616357803345,4
40000,61.40875816345215,3558.7682127952576,4
50000,74.65489705403645,1618.322054545085,3
60000,106.69891039530437,1724.916140238444,3
70000,169.97806231180826,3924.1778850555415,3
80000,219.1485563913981,2846.0055192311606,3
90000,209.56007639567056,3120.699485143026,3
100000,332.36885070800787,4544.545253117879,3
150000,563.0057652791342,4814.49810663859,3
200000,1239.8210366566977,7296.812852223714,3
250000,1487.2180620829265,11683.831532796225,3
300000,1800.1304864883423,1500.8900165557861,2
350000,2455.7687044143677,968.1004285812378,2
400000,2084.123373031616,1472.0462560653687,2
450000,4755.172967910767,3607.645869255066,2
500000,7079.795002937317,3962.610602378845,2
600000,6551.128387451172,2369.2065477371216,2
700000,11844.389796257019,7187.6585483551025,2
800000,11729.07567024231,6050.212860107422,2
900000,22336.786031723022,6088.152527809143,2
1000000,25705.26897907257,8753.411769866943,2
1200000,27114.66634273529,14040.539145469666,2
1400000,47190.02103805542,3829.188585281372,1
1600000,57659.47771072388,6142.517328262329,1
1800000,73885.60676574707,5584.155321121216,1
2000000,90318.9628124237,9161.727666854858,1
2200000,107287.75525093079,8678.112745285034,1
2400000,124235.99028587341,14932.33847618103,1
2600000,145519.25587654114,12752.068758010864,1
2800000,146525.31576156616,11913.054943084717,1
3000000,112432.26861953735,13701.16639137268,1
