size,k,dimension,faiss_time,fgc_time,count
1000,10,3,16.61380132039388,285.55623690287274,3
1000,10,5,1.5672842661539714,10.163545608520508,3
1000,10,10,23.926258087158203,350.2565026283264,4
1000,40,3,1.6066233317057292,8.926630020141602,3
1000,40,5,1.048405965169271,10.865132013956705,3
1000,40,10,2.705395221710205,31.2679409980774,4
1000,100,3,2.9033819834391275,15.099445978800455,3
1000,100,5,2.259969711303711,10.844707489013672,3
1000,100,10,3.0588507652282715,29.112637042999264,4
2000,10,3,1.6438961029052734,15.041828155517578,3
2000,10,5,1.089334487915039,14.043649037679037,3
2000,10,10,3.7238001823425297,65.41305780410767,4
2000,40,3,2.536217371622721,16.55896504720052,3
2000,40,5,1.6881624857584636,8.554855982462566,3
2000,40,10,6.071329116821289,35.17711162567139,4
2000,100,3,3.4645398457845054,16.47154490152995,3
2000,100,5,4.3582916259765625,16.158660252888996,3
2000,100,10,8.066236972808838,33.274173736572266,4
3000,10,3,1.7098585764567058,15.769879023234049,3
3000,10,5,2.0744005839029946,20.74917157491048,3
3000,10,10,4.21220064163208,62.29257583618165,4
3000,40,3,2.64890988667806,9.075005849202475,3
3000,40,5,1.9241174062093098,17.606417338053387,3
3000,40,10,8.23146104812622,44.45004463195801,4
3000,100,3,6.934801737467448,15.64327875773112,3
3000,100,5,5.653619766235352,29.163916905721024,3
3000,100,10,7.443487644195557,46.62525653839111,4
4000,10,3,2.050479253133138,9.551048278808594,3
4000,10,5,3.1926631927490234,22.197723388671875,3
4000,10,10,5.150735378265381,65.90574979782104,4
4000,40,3,3.7484963734944663,11.63943608601888,3
4000,40,5,4.365762074788411,19.78643735249837,3
4000,40,10,7.342219352722168,42.08850860595703,4
4000,100,3,6.590922673543294,11.620759963989258,3
4000,100,5,6.382544835408528,22.518078486124676,3
4000,100,10,9.588062763214111,49.67790842056274,4
5000,10,3,1.9478797912597656,35.48876444498698,3
5000,10,5,2.110083897908529,31.40711784362793,3
5000,10,10,3.113428751627604,91.2347634633382,3
5000,40,3,5.669116973876953,13.005733489990234,3
5000,40,5,7.028341293334961,18.886327743530273,3
5000,40,10,7.725159327189128,38.36218516031901,3
5000,100,3,8.153756459554037,16.00329081217448,3
5000,100,5,9.840250015258789,26.065508524576824,3
5000,100,10,10.242859522501629,38.15627098083496,3
6000,10,3,3.2296180725097656,18.206357955932617,3
6000,10,5,4.37625249226888,29.237667719523113,3
6000,10,10,2.117713292439779,75.99186897277832,3
6000,40,3,3.488461176554362,15.193859736124674,3
6000,40,5,4.402478535970052,22.719462712605793,3
6000,40,10,7.196108500162761,54.636081059773765,3
