dimension,k,ggnn_time,fgc_time,count,size
2,40,3942.730290549142,381.56795501708984,7,1000000
3,40,3790.7917896906533,58.57110023498535,6,1000000
4,40,4006.238420804342,90.17431735992432,6,1000000
5,40,4288.718819618225,307.89907773335773,6,1000000
6,40,4583.739201227824,701.0774612426758,6,1000000
7,40,4912.5373760859175,1455.0206263860066,6,1000000
8,40,5207.788944244385,2422.8301445643106,6,1000000
9,40,5562.085787455241,4293.687303860982,6,1000000
10,40,5899.366855621338,6782.279133796692,6,1000000
11,40,6248.776356379191,10307.15084075928,6,1000000
12,40,6618.913451830546,14217.503706614176,6,1000000
13,40,6993.560115496318,19229.748765627544,6,1000000
14,40,7368.821700414021,24484.18176174164,6,1000000
15,40,7750.474015871682,29571.256438891094,6,1000000
16,40,8025.224765141805,65114.664832750954,6,1000000
17,40,8526.97749932607,39547.60408401489,6,1000000
18,40,8891.66525999705,45017.31701691946,6,1000000
19,40,9310.032725334167,48408.93336137136,6,1000000
