size,k,dimension,hnswlib_time,fgc_time,count
100000.0,10,2,15132.700641949974,3685.2593421936035,6
100000.0,10,3,13111.455619335178,937.9741847515106,8
100000.0,10,4,19039.3705368042,2283.802549044291,6
100000.0,10,5,28508.287482791475,9858.574814266629,9
100000.0,10,6,44144.10305023193,27906.661919185095,7
100000.0,10,7,52170.79448699951,50654.87483569554,7
100000.0,10,8,61749.54669816154,66496.25158309937,7
100000.0,10,9,67381.12788200378,91551.70063972472,5
100000.0,40,2,9483.831930160522,2322.742986679077,10
100000.0,40,3,8908.14777215322,662.0436310768127,12
100000.0,40,4,11403.067421913147,2326.3670444488525,10
100000.0,40,5,20725.12797208933,11079.199387476994,13
100000.0,40,6,27824.191201816906,25721.841356971046,11
100000.0,40,7,33034.53128988093,44188.054171475495,11
100000.0,40,8,40598.361058668655,55045.32504081726,11
100000.0,40,9,36167.87158118354,61580.37885030111,9
100000.0,40,10,43801.628440618515,85519.64858174324,8
100000.0,40,11,696.4913606643677,520.5769538879395,4
100000.0,40,12,693.3615207672119,831.6953182220459,2
100000.0,40,13,692.8260326385498,962.305784225464,2
100000.0,40,14,720.2262878417969,1143.1686878204346,2
100000.0,40,15,650.4850387573242,1235.9142303466797,2
100000.0,40,16,661.0794067382812,1972.315788269043,2
100000.0,40,17,683.8185787200928,1855.6172847747805,2
100000.0,40,18,685.1279735565186,2037.5587940216064,2
100000.0,40,19,673.4497547149658,1838.421106338501,2
100000.0,40,20,700.8171081542969,2082.847595214844,2
100000.0,40,21,706.7098617553711,2604.2025089263916,2
100000.0,40,22,673.8555431365967,3364.980936050415,2
100000.0,40,23,716.2981033325195,3222.546100616455,2
100000.0,40,24,665.3859615325928,3265.6939029693604,2
100000.0,40,25,747.3351955413818,3819.714784622192,2
100000.0,40,26,711.2655639648438,4384.899139404297,2
100000.0,40,27,710.1500034332275,4408.600330352783,2
100000.0,40,28,691.6351318359375,4396.295547485352,2
100000.0,40,29,725.5232334136963,4405.666828155518,2
100000.0,40,30,730.2753925323486,4980.591535568237,2
100000.0,100,2,16082.94641971588,4877.9237270355225,6
100000.0,100,3,12931.668847799301,1320.0634717941284,8
100000.0,100,4,19162.981907526657,6123.466730117798,6
100000.0,100,5,32350.12679629856,22370.56557337443,9
100000.0,100,6,49822.84079279219,53635.74590001787,7
100000.0,100,7,61328.38099343436,84143.67566789899,7
100000.0,100,8,75862.20012392316,102085.90977532524,7
100000.0,100,9,80662.94794082642,125928.11274528503,5
150000.0,10,3,852.2751331329346,38.65337371826172,2
150000.0,10,5,932.7476024627686,231.44960403442383,2
150000.0,40,3,862.5545501708984,85.55841445922852,2
150000.0,40,5,901.7782211303712,338.4814262390137,2
150000.0,100,3,866.2400245666504,94.04778480529784,2
150000.0,100,5,930.3748607635498,492.77424812316895,2
200000.0,10,3,1154.7458171844482,55.413007736206055,2
200000.0,10,5,1265.2473449707031,291.5325164794922,2
200000.0,40,3,1190.692663192749,79.51021194458008,2
200000.0,40,5,1292.0191287994385,413.2547378540039,2
200000.0,100,3,1168.3223247528076,129.10056114196777,2
200000.0,100,5,1248.392105102539,606.7371368408203,2
250000.0,10,3,1494.7350025177002,50.83155632019043,2
250000.0,10,5,1566.9801235198977,395.0643539428711,2
250000.0,40,3,1465.7385349273682,78.63259315490723,2
250000.0,40,5,1588.9809131622314,571.8245506286621,2
250000.0,100,3,1449.380874633789,148.44322204589844,2
250000.0,100,5,1617.1777248382568,836.8122577667236,2
300000.0,10,3,1736.4003658294678,24.608850479125977,2
300000.0,10,5,1946.8023777008057,483.78753662109375,2
300000.0,40,3,1748.3415603637695,43.34759712219238,2
300000.0,40,5,1945.474624633789,681.1213493347168,2
300000.0,100,3,1728.7709712982178,72.02792167663574,2
300000.0,100,5,1932.7442646026611,718.5685634613037,2
350000.0,10,3,2039.2911434173584,15.405893325805664,2
350000.0,10,5,2195.2290534973145,308.82835388183594,2
350000.0,40,3,1998.4748363494873,107.79428482055664,2
350000.0,40,5,2188.927412033081,546.6036796569824,2
350000.0,100,3,2041.8555736541748,187.99090385437012,2
350000.0,100,5,2253.655433654785,1345.1545238494873,2
400000.0,10,3,2348.2797145843506,61.38324737548828,2
400000.0,10,5,2625.7362365722656,718.4016704559326,2
400000.0,40,3,2373.9895820617676,53.577423095703125,2
400000.0,40,5,2626.8699169158936,620.2242374420166,2
400000.0,100,3,2354.0501594543457,183.55822563171387,2
400000.0,100,5,2734.3058586120605,1503.8514137268066,2
450000.0,10,3,2617.958068847656,62.58678436279297,2
450000.0,10,5,3033.0843925476074,823.2533931732178,2
450000.0,40,3,2619.582414627075,61.850547790527344,2
450000.0,40,5,3052.5825023651123,675.0147342681885,2
450000.0,100,3,2694.819688796997,147.60780334472656,2
450000.0,100,5,3183.796167373657,1502.8843879699707,2
500000.0,10,3,2966.8188095092773,76.89309120178223,2
