size,k,dimension,annoy_time,ggnn_time,scann_time,hnswlib_time,faiss_time,fgc_time,fgc_time_annoy,fgc_time_scann,fgc_time_hnswlib,fgc_time_ggnn,count
1000.0,10.0,3.0,50.54926872253418,,,,16.61380132039388,285.55623690287274,293.0996417999268,,,,3.0
1000.0,10.0,5.0,36.87548637390137,,,,1.5672842661539714,10.163545608520508,6.501197814941406,,,,3.0
1000.0,10.0,10.0,,,,,23.926258087158203,350.2565026283264,,,,,4.0
1000.0,40.0,3.0,77.76284217834473,,,,1.6066233317057292,8.926630020141602,10.163068771362305,,,,3.0
1000.0,40.0,5.0,70.44863700866699,,,,1.048405965169271,10.865132013956703,11.517047882080078,,,,3.0
1000.0,40.0,10.0,,,,,2.705395221710205,31.2679409980774,,,,,4.0
1000.0,100.0,3.0,137.59231567382812,,,,2.9033819834391275,15.099445978800455,10.513067245483398,,,,3.0
1000.0,100.0,5.0,128.4489631652832,,,,2.259969711303711,10.844707489013672,13.581275939941406,,,,3.0
1000.0,100.0,10.0,,,,,3.0588507652282715,29.112637042999264,,,,,4.0
2000.0,10.0,3.0,68.08710098266602,,,,1.6438961029052734,15.041828155517578,5.905866622924805,,,,3.0
2000.0,10.0,5.0,62.65068054199219,,,,1.089334487915039,14.043649037679035,17.525196075439453,,,,3.0
2000.0,10.0,10.0,,,,,3.7238001823425297,65.41305780410767,,,,,4.0
2000.0,40.0,3.0,140.2111053466797,,,,2.536217371622721,16.55896504720052,4.399299621582031,,,,3.0
2000.0,40.0,5.0,124.84264373779295,,,,1.6881624857584636,8.554855982462566,15.243053436279297,,,,3.0
2000.0,40.0,10.0,,,,,6.071329116821289,35.17711162567139,,,,,4.0
2000.0,100.0,3.0,278.71060371398926,,,,3.464539845784506,16.47154490152995,17.606735229492188,,,,3.0
2000.0,100.0,5.0,256.3149929046631,,,,4.3582916259765625,16.158660252888996,40.71617126464844,,,,3.0
2000.0,100.0,10.0,,,,,8.066236972808838,33.274173736572266,,,,,4.0
3000.0,10.0,3.0,97.49507904052734,,,,1.7098585764567058,15.769879023234049,28.72467041015625,,,,3.0
3000.0,10.0,5.0,85.24346351623535,,,,2.074400583902994,20.74917157491048,18.833160400390625,,,,3.0
3000.0,10.0,10.0,,,,,4.21220064163208,62.29257583618165,,,,,4.0
3000.0,40.0,3.0,196.24567031860352,,,,2.64890988667806,9.075005849202476,31.797409057617188,,,,3.0
3000.0,40.0,5.0,191.85519218444824,,,,1.9241174062093096,17.606417338053387,8.09335708618164,,,,3.0
3000.0,40.0,10.0,,,,,8.23146104812622,44.45004463195801,,,,,4.0
3000.0,100.0,3.0,411.473274230957,,,,6.934801737467448,15.64327875773112,9.673833847045898,,,,3.0
3000.0,100.0,5.0,393.25809478759766,,,,5.653619766235352,29.163916905721024,26.23534202575684,,,,3.0
3000.0,100.0,10.0,,,,,7.443487644195557,46.62525653839111,,,,,4.0
4000.0,10.0,3.0,121.29998207092284,,,,2.050479253133138,9.551048278808594,11.65175437927246,,,,3.0
4000.0,10.0,5.0,101.7930507659912,,,,3.192663192749023,22.197723388671875,24.05858039855957,,,,3.0
4000.0,10.0,10.0,,,,,5.150735378265381,65.90574979782104,,,,,4.0
4000.0,40.0,3.0,349.15995597839355,,,,3.7484963734944663,11.63943608601888,14.10198211669922,,,,3.0
4000.0,40.0,5.0,246.9754219055176,,,,4.365762074788411,19.78643735249837,32.68098831176758,,,,3.0
4000.0,40.0,10.0,,,,,7.342219352722168,42.08850860595703,,,,,4.0
4000.0,100.0,3.0,561.2349510192871,,,,6.590922673543294,11.620759963989258,32.088518142700195,,,,3.0
4000.0,100.0,5.0,526.9863605499268,,,,6.382544835408528,22.518078486124676,28.42426300048828,,,,3.0
4000.0,100.0,10.0,,,,,9.588062763214111,49.67790842056274,,,,,4.0
5000.0,10.0,3.0,141.8769359588623,,,,1.9478797912597656,35.48876444498698,32.302141189575195,,,,3.0
5000.0,10.0,5.0,126.81221961975098,,,,2.110083897908529,31.40711784362793,30.252456665039062,,,,3.0
5000.0,10.0,10.0,,,,,3.113428751627604,91.2347634633382,,,,,3.0
5000.0,40.0,3.0,324.5844841003418,,,,5.669116973876953,13.005733489990234,16.666173934936523,,,,3.0
5000.0,40.0,5.0,312.6218318939209,,,,7.028341293334961,18.886327743530273,10.317325592041016,,,,3.0
5000.0,40.0,10.0,,,,,7.725159327189128,38.36218516031901,,,,,3.0
5000.0,100.0,3.0,694.2739486694336,,,,8.153756459554037,16.00329081217448,13.731956481933594,,,,3.0
5000.0,100.0,5.0,664.6707057952881,,,,9.840250015258787,26.065508524576824,31.067848205566406,,,,3.0
5000.0,100.0,10.0,,,,,10.242859522501629,38.15627098083496,,,,,3.0
6000.0,10.0,3.0,225.26264190673828,,,,3.2296180725097656,18.206357955932617,20.64180374145508,,,,3.0
6000.0,10.0,5.0,149.4147777557373,,,,4.37625249226888,29.237667719523113,37.92572021484375,,,,3.0
6000.0,10.0,10.0,,,,,2.117713292439779,75.99186897277832,,,,,3.0
6000.0,40.0,3.0,393.7404155731201,,,,3.488461176554362,15.193859736124674,15.69223403930664,,,,3.0
6000.0,40.0,5.0,376.5707015991211,,,,4.402478535970052,22.719462712605793,26.622533798217773,,,,3.0
6000.0,40.0,10.0,,,,,7.196108500162761,54.636081059773765,,,,,3.0
6000.0,100.0,3.0,830.8780193328857,,,,11.84662183125814,14.86817995707194,11.943340301513672,,,,3.0
6000.0,100.0,5.0,809.0317249298096,,,,10.017633438110352,40.27001063028971,36.3926887512207,,,,3.0
6000.0,100.0,10.0,,,,,16.238292058308918,51.77680651346842,,,,,3.0
7000.0,10.0,3.0,198.4589099884033,,,,5.313475926717122,19.057432810465496,19.01507377624512,,,,3.0
7000.0,10.0,5.0,175.50039291381836,,,,2.7941068013509116,26.44062042236328,24.92308616638184,,,,3.0
7000.0,10.0,10.0,,,,,5.573590596516927,123.57417742411296,,,,,3.0
7000.0,40.0,3.0,532.3996543884277,,,,8.135795593261719,18.175204594930012,7.023334503173828,,,,3.0
7000.0,40.0,5.0,443.30668449401855,,,,7.518927256266276,28.84356180826823,26.58820152282715,,,,3.0
7000.0,40.0,10.0,,,,,6.7700544993082685,72.51556714375813,,,,,3.0
7000.0,100.0,3.0,975.1946926116944,,,,12.32592264811198,19.15089289347331,10.19740104675293,,,,3.0
7000.0,100.0,5.0,951.6959190368652,,,,11.171181996663412,32.617648442586265,30.97724914550781,,,,3.0
7000.0,100.0,10.0,,,,,18.70298385620117,44.83167330423991,,,,,3.0
8000.0,10.0,3.0,216.2315845489502,,,,5.439996719360352,14.623165130615234,16.36338233947754,,,,3.0
8000.0,10.0,5.0,201.0314464569092,,,,5.882422129313151,17.50922203063965,33.25700759887695,,,,3.0
