dimension,k,scann_time,fgc_time,count,fixed_size
2,100,48555.21011352539,1741.4631843566895,5,1000000
3,100,51960.05940437317,440.31214714050293,5,1000000
4,100,51898.932218551636,1945.279598236084,5,1000000
5,100,54820.351123809814,4032.4559211730957,5,1000000
6,100,56167.65332221985,7298.179149627686,5,1000000
7,100,59128.46851348877,11108.675003051758,5,1000000
8,100,59489.17579650879,12316.062927246094,5,1000000
9,100,62315.61088562012,17947.859287261963,5,1000000
10,100,62943.188428878784,20625.683784484863,5,1000000
11,100,65725.1923084259,26081.005334854126,5,1000000
12,100,64897.83263206482,30657.891273498535,5,1000000
13,100,67601.16481781006,39282.39631652832,5,1000000
14,100,68607.19680786133,41833.51111412048,5,1000000
15,100,67996.0744380951,45563.17853927612,5,1000000
16,100,69152.68898010254,122147.58729934692,5,1000000
17,100,71075.4611492157,54335.65092086792,5,1000000
18,100,70811.09857559204,58566.68829917908,5,1000000
19,100,71806.9920539856,69733.35242271423,5,1000000
20,100,71198.87518882751,77625.30565261841,5,1000000
21,100,72163.6233329773,86692.86942481995,5,1000000
22,100,72550.67682266235,92487.61677742004,5,1000000
23,100,74394.52767372131,92142.89283752441,5,1000000
24,100,76151.63254737854,120928.00855636597,5,1000000
25,100,77524.43957328796,109462.86964416504,5,1000000
26,100,77449.25498962402,110779.13236618042,5,1000000
27,100,79167.78111457825,118937.05916404724,5,1000000
28,100,79354.30645942688,125451.4319896698,5,1000000
29,100,79660.08114814758,136623.19707870483,5,1000000
30,100,80092.85020828247,144017.07863807678,5,1000000
31,100,81436.27834320068,155638.1323337555,5,1000000
32,100,84141.01982116699,502200.7176876068,5,1000000
33,100,84424.04675483704,170777.4522304535,5,1000000
34,100,84126.71327590942,182712.38565444946,5,1000000
35,100,86250.37217140198,185366.47129058838,5,1000000
36,100,86938.16947937012,187814.77212905884,5,1000000
37,100,88233.17813873291,202214.6542072296,5,1000000
38,100,87794.90661621094,217746.98734283447,5,1000000
39,100,89079.95200157166,222419.5318222046,5,1000000
40,100,88667.32454299927,234181.90908432007,5,1000000
41,100,90097.54633903503,224320.1847076416,5,1000000
42,100,91104.09903526306,224076.65061950684,5,1000000
43,100,92528.05471420288,225400.06160736084,5,1000000
44,100,92122.0691204071,248048.08449745178,5,1000000
45,100,93969.87462043762,247743.03221702576,5,1000000
46,100,94392.24648475647,257302.7822971344,5,1000000
47,100,96725.14653205872,267739.57681655884,5,1000000
48,100,96340.2328491211,422635.1137161255,5,1000000
49,100,98222.2421169281,291763.1344795227,5,1000000
50,100,99073.67038726807,284850.67558288574,5,1000000
