dimension,k,scann_time,fgc_time,count,fixed_size
2,40,3065.895915031433,48.69449138641358,10,100000
3,40,3065.320086479188,17.592215538024902,10,100000
4,40,3133.8302850723267,60.17916202545166,10,100000
5,40,3348.89211654663,84.58502292633057,10,100000
6,40,3299.3465662002563,156.95061683654785,10,100000
7,40,3408.418369293213,250.55923461914068,10,100000
8,40,3428.5104513168335,275.67129135131836,10,100000
9,40,3494.6429014205933,395.9140539169312,10,100000
10,40,3494.2394495010385,405.59012889862055,10,100000
11,40,3600.8926153182983,470.9104299545288,10,100000
12,40,3545.9316730499268,711.501955986023,10,100000
13,40,3655.6044578552246,836.2813472747803,10,100000
14,40,3610.2187633514404,952.6862144470215,10,100000
15,40,3794.6579694747916,1073.9957809448242,10,100000
16,40,3721.6420412063576,1616.514253616333,10,100000
17,40,3847.804093360901,1557.1853637695312,10,100000
18,40,3790.6718730926523,1705.9819459915166,10,100000
19,40,3873.5469102859497,1609.6596956253052,10,100000
20,40,3869.5114374160767,1820.9220170974731,10,100000
21,40,3919.892144203186,2147.0107555389404,10,100000
22,40,3918.103575706481,2840.4514789581303,10,100000
23,40,3990.8314704895033,2668.394637107849,10,100000
24,40,3977.4928331375113,2714.17636871338,10,100000
25,40,4060.1288080215454,3214.141035079956,10,100000
26,40,4083.921694755554,3549.4940757751465,10,100000
27,40,4152.296614646912,3634.524798393248,10,100000
28,40,4140.497040748596,3735.004496574402,10,100000
29,40,4221.224236488342,3728.8615465164185,10,100000
30,40,4226.230812072754,4361.388421058655,10,100000
31,40,4313.116669654846,4254.799103736877,10,100000
32,40,4265.890407562256,6352.930331230164,10,100000
33,40,4382.061839103699,3964.333987236024,10,100000
34,40,4321.001338958741,5105.063843727112,10,100000
35,40,4499.883484840393,5184.940767288208,10,100000
36,40,4472.520589828491,5080.1631689071655,10,100000
37,40,4657.086825370789,5388.041424751282,10,100000
38,40,4599.965953826904,5617.7799463272095,10,100000
39,40,4651.914048194885,5683.328008651733,10,100000
40,40,4675.996899604797,5297.164273262024,10,100000
41,40,4721.80757522583,5346.603059768677,10,100000
42,40,4753.143048286438,6114.85311985016,10,100000
43,40,4832.943034172058,6817.399477958679,10,100000
44,40,4849.729323387146,5714.873790740967,10,100000
45,40,4962.917065620422,7111.958265304565,10,100000
46,40,5197.671175003052,6588.362669944763,10,100000
47,40,5060.474467277527,5728.898286819458,10,100000
48,40,5129.229807853699,8379.992294311523,10,100000
49,40,5216.000437736512,6438.875460624695,10,100000
50,40,5186.647653579712,7238.9981508255005,10,100000
51,40,5144.592070579529,7571.535420417786,10,100000
52,40,5202.162027359009,7412.103319168091,10,100000
53,40,5347.811675071717,7934.5603704452515,10,100000
54,40,5365.159773826599,7842.898774147034,10,100000
55,40,5458.37709903717,7736.294460296631,10,100000
56,40,5453.623104095459,7027.350044250488,10,100000
57,40,5526.50043964386,7397.650480270386,10,100000
58,40,5723.268079757691,7755.101537704468,10,100000
59,40,5641.33415222168,7391.834235191345,10,100000
60,40,5750.44310092926,7737.511706352234,10,100000
61,40,5762.6102685928345,8063.952159881592,10,100000
62,40,5793.124508857727,8081.365990638733,10,100000
63,40,5915.068936347961,8489.97175693512,10,100000
64,40,5874.501204490662,12083.234357833864,10,100000
65,40,5870.051145553589,9104.537320137024,10,100000
66,40,6011.520075798035,8443.463063240051,10,100000
67,40,6007.537579536438,9750.468635559086,10,100000
68,40,6062.422823905945,9341.778969764708,10,100000
69,40,6091.262364387513,8399.788928031921,10,100000
70,40,6126.778173446655,9306.359696388243,10,100000
71,40,6184.283256530762,8756.768894195557,10,100000
72,40,6277.376198768616,9952.495646476744,10,100000
73,40,6330.8186292648315,8189.640283584595,10,100000
74,40,6316.887259483337,9275.115561485287,10,100000
75,40,6442.603826522827,9576.924467086792,10,100000
76,40,6467.144870758057,9773.220038414,10,100000
77,40,6567.5617933273315,9908.553600311281,10,100000
78,40,6531.704354286194,9905.443692207335,10,100000
79,40,6589.904689788818,9938.3003950119,10,100000
80,40,6650.572848320007,12080.60233592987,10,100000
81,40,6758.021926879883,10394.045901298525,10,100000
82,40,6686.540842056274,10606.440734863281,10,100000
83,40,6838.49470615387,9878.03373336792,10,100000
84,40,6805.7477951049805,11080.49578666687,10,100000
85,40,6858.03530216217,10435.93323230743,10,100000
86,40,6932.273769378662,11837.919783592224,10,100000
87,40,6925.727462768555,11295.456361770632,10,100000
88,40,6985.12396812439,10246.419787406923,10,100000
89,40,7108.746242523193,10271.185827255249,10,100000
90,40,7156.91614151001,11643.526339530947,10,100000
91,40,7225.087380409241,11288.59133720398,10,100000
92,40,7180.396151542664,11999.60088729858,10,100000
93,40,7343.2687520980835,11446.304941177372,10,100000
94,40,7507.444715499878,11491.415786743164,10,100000
95,40,7548.058366775513,12151.442956924438,10,100000
96,40,7456.267094612122,16954.099678993225,10,100000
97,40,7471.149444580078,11769.675612449646,10,100000
98,40,7608.078694343567,12276.489996910092,10,100000
99,40,7595.850944519043,12695.50335407257,10,100000
100,40,7717.18647480011,13195.804238319397,10,100000
