size,k,scann_time,fgc_time,count,fixed_dimension
50000,100,1837.815523147583,320.30582427978516,5,5
100000,100,5131.624937057495,131.9892406463623,5,5
150000,100,7731.5521240234375,316.44201278686523,5,5
200000,100,8895.235538482666,349.0297794342041,5,5
250000,100,13834.080219268799,512.8812789916992,5,5
300000,100,14489.252090454102,617.0802116394043,5,5
350000,100,17246.636152267456,797.1196174621582,5,5
400000,100,20905.84969520569,946.8393325805664,5,5
450000,100,25687.788486480713,1100.5549430847168,5,5
500000,100,24934.86499786377,1222.4552631378174,5,5
550000,100,25621.601104736328,1368.1426048278809,5,5
600000,100,30283.19525718689,1657.9196453094482,5,5
650000,100,32873.533725738525,2016.1354541778564,5,5
700000,100,36390.29669761658,1921.715497970581,5,5
750000,100,39349.03311729431,2209.3489170074463,5,5
800000,100,40810.99557876587,2515.7017707824707,5,5
850000,100,46816.16258621216,2800.2395629882812,5,5
900000,100,50428.61032485962,2971.851348876953,5,5
950000,100,55631.62422180176,3178.97367477417,5,5
1000000,100,57743.19267272949,3457.3943614959717,5,5
1050000,100,58720.47662734985,3715.839385986328,5,5
1100000,100,65797.36590385437,4160.890102386475,5,5
1150000,100,70179.88681793213,4277.475595474243,5,5
1200000,100,74721.0419178009,4554.073095321655,5,5
1250000,100,76882.96008110046,4930.363893508911,5,5
1300000,100,82719.72751617432,5227.921009063721,5,5
1350000,100,81213.56797218323,5546.02837562561,5,5
1400000,100,88078.48310470581,5860.631704330444,5,5
1450000,100,92943.7165260315,6216.954231262207,5,5
1500000,100,97134.84597206116,6916.035413742065,5,5
1550000,100,97982.10668563843,6941.493511199951,5,5
1600000,100,105280.32517433167,7493.205547332764,5,5
1650000,100,105782.5231552124,8334.169626235962,5,5
1700000,100,112245.61476707458,8204.672574996948,5,5
1750000,100,116466.57371520996,8457.337856292725,5,5
1800000,100,122428.9960861206,8829.278945922852,5,5
1850000,100,121864.03679847717,9262.579441070557,5,5
1900000,100,131180.92226982117,9666.924476623535,5,5
1950000,100,137457.00860023499,10345.608234405518,5,5
2000000,100,136906.54277801514,10842.481851577759,5,5
2050000,100,145117.329120636,10791.621208190918,5,5
2100000,100,149399.8420238495,11279.196739196777,5,5
2150000,100,156955.69348335266,12137.760877609253,5,5
2200000,100,161970.91102600098,12559.818506240845,5,5
2250000,100,171862.39433288574,12690.207958221436,5,5
2300000,100,178875.23770332336,12926.430463790894,5,5
2350000,100,177209.33890342712,14089.320659637451,5,5
2400000,100,181273.8711833954,14347.159624099731,5,5
2450000,100,203909.59453582764,14450.390338897705,5,5
2500000,100,203797.98126220703,15788.83409500122,5,5
2550000,100,208824.53680038452,15356.614351272583,5,5
2600000,100,214902.99606323242,16224.545240402222,5,5
2650000,100,226770.17951011658,16417.33193397522,5,5
2700000,100,236742.24162101746,17257.875680923462,5,5
2750000,100,298190.3579235077,17713.31238746643,5,5
2800000,100,324077.2862434387,18088.346242904663,5,5
2850000,100,304674.44825172424,18354.58278656006,5,5
2900000,100,308038.5468006134,18824.960231781006,5,5
2950000,100,317289.41774368286,19562.24822998047,5,5
3000000,100,327616.6560649872,21029.57510948181,5,5
3050000,100,327135.85233688354,20754.392385482788,5,5
3100000,100,334641.1633491516,21621.38080596924,5,5
3150000,100,345837.26143836975,22297.15085029602,5,5
3200000,100,357330.51085472107,22636.45601272583,5,5
3250000,100,366129.7504901886,23025.192737579346,5,5
3300000,100,368681.78033828735,23897.39418029785,5,5
3350000,100,372849.3688106537,24230.326414108276,5,5
3400000,100,389612.4405860901,25855.535745620728,5,5
3450000,100,389940.7048225403,26017.34471321106,5,5
3500000,100,397114.3493652344,26226.91559791565,5,5
3550000,100,391129.940032959,27064.609050750732,5,5
3600000,100,421555.8409690857,27559.92341041565,5,5
3650000,100,417581.2454223633,28041.86725616455,5,5
3700000,100,424877.836227417,28954.152822494507,5,5
3750000,100,434487.4165058136,29980.3466796875,5,5
3800000,100,437663.8767719269,29503.321170806885,5,5
3850000,100,428607.21158981323,31482.377529144287,5,5
3900000,100,442198.5328197479,30908.758640289307,5,5
3950000,100,448684.82422828674,31634.710550308228,5,5
4000000,100,464311.9885921478,32201.47204399109,5,5
4050000,100,464195.4686641693,34816.176652908325,5,5
4100000,100,470483.8149547577,34154.63662147522,5,5
4150000,100,464324.8665332794,34302.117109298706,5,5
4200000,100,471934.24129486084,35295.21441459656,5,5
4250000,100,496435.5483055115,37646.80099487305,5,5
4300000,100,501194.5102214813,36962.40544319153,5,5
4350000,100,511405.4069519043,37048.916816711426,5,5
4400000,100,505850.7616519928,37934.157609939575,5,5
4450000,100,526444.708108902,39715.30318260193,5,5
4500000,100,526105.584859848,39942.93999671936,5,5
4550000,100,557337.5635147095,42474.838733673096,5,5
4600000,100,555525.764465332,40907.4501991272,5,5
4650000,100,561248.7530708313,42629.255056381226,5,5
4700000,100,561985.2828979492,43391.156911849976,5,5
4750000,100,586563.3409023285,44764.16277885437,5,5
4800000,100,593487.3826503754,45488.5528087616,5,5
4850000,100,642192.8067207336,45468.512773513794,5,5
4900000,100,639582.2021961212,46688.820362091064,5,5
4950000,100,606357.4657440186,47689.64409828186,5,5
5000000,100,626001.4543533325,48563.72594833374,5,5
