size,k,dimension,scann_time,fgc_time,count
50000,10,3,1306.5180778503418,222.1474647521973,1
50000,10,5,1337.0532989501953,265.0899887084961,5
50000,10,10,1781.0513973236084,383.11243057250977,5
50000,40,3,1834.190845489502,255.40423393249512,5
50000,40,5,2437.584638595581,237.27989196777344,5
50000,40,10,2336.4641666412354,487.08105087280273,5
50000,100,3,1739.7658824920654,309.581995010376,5
50000,100,5,1837.815523147583,320.30582427978516,5
50000,100,10,1977.1125316619873,550.1642227172852,10
100000,10,2,2489.8468255996704,27.55305767059327,10
100000,10,3,2545.3564253720365,12.857090343128549,11
100000,10,4,2541.308498382569,45.84469795227051,10
100000,10,5,2642.5210316975913,68.25095812479655,15
100000,10,6,2691.2508726119995,103.5318374633789,10
100000,10,7,2730.3185462951656,144.08721923828125,10
100000,10,8,2747.9313373565674,185.20660400390625,10
100000,10,9,2803.031253814697,260.37533283233637,10
100000,10,10,2873.2210954030356,309.4331582387289,15
100000,10,11,2877.5218009948726,348.9006519317627,10
100000,10,12,2913.18109035492,573.3078718185425,10
100000,10,13,3032.087588310242,639.0823364257812,10
100000,10,14,2979.587888717652,808.4032773971558,10
100000,10,15,3044.7227239608765,862.3119831085205,10
100000,10,16,3038.5968446731567,1398.3325004577637,10
100000,10,17,3128.916358947754,1282.6604604721072,10
100000,10,18,3108.487868309021,1434.8289966583254,10
100000,10,19,3241.6194200515747,1400.9783267974851,10
100000,10,20,3230.323195457459,1539.5163297653205,10
100000,10,21,3328.153705596924,1784.8004341125488,10
100000,10,22,3280.6917190551767,2432.356286048889,10
100000,10,23,3367.898917198182,2250.469136238098,10
100000,10,24,3377.163791656494,2353.0878782272343,10
100000,10,25,3420.2564239501953,2714.9537801742554,10
100000,10,26,3427.584385871887,3120.9466457366943,10
100000,10,27,3507.918167114258,3135.760974884033,10
100000,10,28,3516.291284561157,3318.8140153884888,10
100000,10,29,3614.5437955856337,3352.4041175842276,10
100000,10,30,3592.482042312622,3930.678892135621,10
100000,10,31,3678.3706188201904,3870.9758043289185,10
100000,10,32,3699.519824981688,5895.526599884033,10
100000,10,33,3785.0242137908926,3635.0383043289185,10
100000,10,34,3953.1832218170175,4632.193851470947,10
100000,10,35,3861.6193532943735,4790.763354301453,10
100000,10,36,3859.2565298080453,4721.887588500977,10
100000,10,37,3915.181326866149,5129.085946083069,10
100000,10,38,3935.646772384642,5330.553030967712,10
100000,10,39,3972.074246406555,5357.919073104858,10
100000,10,40,3985.5061292648306,5052.581334114075,10
100000,10,41,4120.359230041504,5168.766903877258,10
100000,10,42,4150.753593444824,5950.430703163147,10
100000,10,43,4244.545674324036,6575.076484680176,10
100000,10,44,4211.368036270142,5519.955348968506,10
100000,10,45,4336.741471290588,6921.874022483826,10
100000,10,46,4348.399710655212,6462.326955795288,10
100000,10,47,4422.455477714539,5487.477135658264,10
100000,10,48,4439.573669433594,8224.986338615417,10
100000,10,49,4460.436964035034,6269.444489479065,10
100000,10,50,4445.581388473512,7165.378904342651,10
100000,10,51,4529.215288162232,7396.563529968262,10
100000,10,52,4525.168538093567,7359.368300437927,10
100000,10,53,4644.917559623718,7837.700080871582,10
100000,10,54,4661.77363395691,7788.396596908569,10
100000,10,55,4770.580077171326,7738.983798027039,10
100000,10,56,4848.707389831543,6998.344421386719,10
100000,10,57,4948.793864250183,7427.46889591217,10
100000,10,58,4980.9659242630005,7777.678751945496,10
100000,10,59,5046.186327934265,7358.508801460266,10
100000,10,60,4946.861386299133,7759.496593475342,10
