dimension,k,annoy_time,fgc_time,count,size
2,10,4589.978218078613,284.6152782440185,1,100000
2,40,7656.399965286255,28.090238571166992,1,100000
2,40,111821.31695747375,869.3485260009766,1,1000000
3,40,106371.36602401733,257.16567039489746,1,1000000
4,40,109592.53692626953,980.5996417999268,1,1000000
5,40,111205.37495613098,2368.9663410186768,1,1000000
6,40,111152.67848968506,4562.598466873169,1,1000000
7,40,109934.95106697083,7366.26672744751,1,1000000
8,40,107184.39531326294,8684.741258621216,1,1000000
9,40,105212.87870407104,12090.79909324646,1,1000000
10,40,105205.4123878479,15807.017087936401,1,1000000
11,40,103156.27121925354,20930.39345741272,1,1000000
12,40,99669.7142124176,24362.20121383667,1,1000000
13,40,98203.75847816467,44109.83490943909,1,1000000
14,40,101486.69648170471,33422.15991020203,1,1000000
15,40,98311.32507324219,36631.23607635498,1,1000000
16,40,88903.52416038513,100697.88908958435,1,1000000
17,40,90219.95496749878,46284.85822677612,1,1000000
18,40,90662.90163993835,51014.161586761475,1,1000000
19,40,90521.82507514954,55933.72058868408,1,1000000
20,40,91557.97958374023,61497.67017364502,1,1000000
21,40,91208.77647399902,68241.80436134338,1,1000000
22,40,91855.56650161743,74480.54218292236,1,1000000
