dimension,k,faiss_time,fgc_time,count,size
2,10,174.5906670888265,292.64291127522785,3,100000
2,40,231.6570281982422,17.45128631591797,3,100000
2,100,290.1100317637126,46.82119687398275,3,100000
2,10,12481.810808181763,374.88770484924316,2,1000000
2,40,17181.735157966614,512.5360488891602,2,1000000
2,100,18593.43385696411,916.4433479309082,2,1000000
2,10,218980.7498455048,14535.460472106934,1,5000000
2,40,462188.467502594,15788.62714767456,1,5000000
2,100,630476.0859012604,20558.988332748413,1,5000000
3,10,233.36005210876465,43.59424114227295,2,100000
3,40,291.3334369659424,27.220606803894043,2,100000
3,100,354.8266887664795,39.63148593902588,2,100000
3,10,16739.696621894836,135.85257530212402,2,1000000
3,40,23282.178044319153,169.7709560394287,2,1000000
3,100,24593.324303627014,471.99881076812744,2,1000000
3,10,354924.2939949036,2216.5539264678955,1,5000000
3,40,382648.6599445343,2453.6828994750977,1,5000000
4,10,205.00874519348145,55.274248123168945,1,100000
4,40,247.50900268554688,66.18094444274902,1,100000
4,100,316.8623447418213,115.62895774841309,1,100000
4,10,16677.55651473999,600.4016399383545,1,1000000
4,40,21574.338912963867,1026.2322425842285,1,1000000
4,100,22901.528358459473,1712.2187614440918,1,1000000
5,10,177.72626876831055,56.446075439453125,1,100000
5,40,246.81472778320312,89.04027938842773,1,100000
5,100,307.13939666748047,173.7687587738037,1,100000
5,10,16740.315675735474,1749.1240501403809,1,1000000
5,40,21333.518981933594,2407.1309566497803,1,1000000
5,100,22308.954000473022,3640.4051780700684,1,1000000
6,10,183.1681728363037,92.62776374816895,1,100000
6,40,273.81157875061035,193.73798370361328,1,100000
6,100,266.6642665863037,242.29788780212402,1,100000
6,10,16399.94740486145,3022.8238105773926,1,1000000
6,40,21186.271905899048,4500.215291976929,1,1000000
6,100,22481.68921470642,6057.594060897827,1,1000000
7,10,194.56028938293457,181.63371086120605,1,100000
7,40,276.20673179626465,310.53614616394043,1,100000
7,100,290.35115242004395,407.0138931274414,1,100000
7,10,16465.89159965515,5196.003437042236,1,1000000
7,40,21132.601499557495,7227.216958999634,1,1000000
7,100,22606.855630874634,9400.544881820679,1,1000000
8,10,200.4411220550537,215.55304527282715,1,100000
8,40,247.93624877929688,331.53223991394043,1,100000
8,100,295.87388038635254,404.15167808532715,1,100000
8,10,16367.194414138794,6478.608131408691,1,1000000
8,40,21023.541688919067,8475.707292556763,1,1000000
8,100,22373.149871826172,10862.166404724121,1,1000000
9,10,191.298246383667,357.2516441345215,1,100000
9,40,245.99957466125488,458.5089683532715,1,100000
9,100,343.001127243042,579.4515609741211,1,100000
9,10,16596.357107162476,9717.975378036499,1,1000000
9,40,21119.67706680298,12101.14049911499,1,1000000
9,100,22960.370302200317,14824.108600616455,1,1000000
10,10,167.60802268981934,435.5921745300293,1,100000
10,40,219.1934585571289,463.4091854095459,1,100000
10,100,297.78361320495605,556.4477443695068,1,100000
10,10,16706.008434295654,12879.896879196167,1,1000000
10,40,21123.511791229248,17058.955192565918,1,1000000
10,100,23499.566555023193,18750.936269760132,1,1000000
11,10,174.78299140930176,412.4777317047119,1,100000
11,40,229.31504249572754,573.2085704803467,1,100000
11,100,272.397518157959,749.85671043396,1,100000
11,10,17034.990549087524,17558.163166046143,1,1000000
11,40,22048.48074913025,21015.855073928833,1,1000000
11,100,23729.318141937256,23784.162521362305,1,1000000
12,10,194.17786598205566,688.0931854248047,1,100000
12,40,274.51086044311523,913.163423538208,1,100000
12,100,319.0889358520508,802.7849197387695,1,100000
12,10,17186.56587600708,22713.581323623657,1,1000000
12,40,21507.131099700928,24643.568515777588,1,1000000
12,100,23866.56951904297,27501.14679336548,1,1000000
13,10,194.38815116882324,784.8269939422607,1,100000
13,40,268.54467391967773,972.2509384155273,1,100000
13,100,331.17175102233887,961.7528915405273,1,100000
13,10,17225.878715515137,26369.690895080566,1,1000000
13,40,21629.044771194458,29632.765293121338,1,1000000
13,100,24008.052349090576,32374.45020675659,1,1000000
14,10,193.9544677734375,931.6227436065674,1,100000
14,40,244.19593811035156,1216.224193572998,1,100000
14,100,351.9458770751953,1114.5544052124023,1,100000
