size,k,faiss_time,fgc_time,count,dimension
1000,10,13.926029205322266,294.2197322845459,1,3
1000,40,1.2278556823730469,11.679410934448242,1,3
1000,100,2.6819705963134766,12.576103210449219,1,3
1000,10,0.6525516510009766,14.277935028076172,1,5
1000,40,0.7581710815429688,12.083768844604492,1,5
1000,100,1.5914440155029297,7.824897766113281,1,5
2000,10,2.468109130859375,26.43275260925293,1,3
2000,40,3.602266311645508,23.869991302490234,1,3
2000,100,3.0896663665771484,11.826515197753906,1,3
2000,10,0.5733966827392578,19.704341888427734,1,5
2000,40,1.5387535095214844,7.226228713989258,1,5
2000,100,6.014823913574219,12.649774551391602,1,5
3000,10,2.1538734436035156,10.464191436767578,1,3
3000,40,2.3784637451171875,5.736112594604492,1,3
3000,100,6.609439849853516,14.263629913330078,1,3
3000,10,3.1647682189941406,23.043155670166016,1,5
3000,40,1.791238784790039,20.452260971069336,1,5
3000,100,6.760120391845703,27.590036392211914,1,5
4000,10,2.766847610473633,11.157751083374023,1,3
4000,40,4.375219345092773,11.259794235229492,1,3
4000,100,7.951021194458008,9.084939956665039,1,3
4000,10,1.4455318450927734,16.16644859313965,1,5
4000,40,3.306150436401367,15.352725982666016,1,5
4000,100,4.967451095581055,27.086734771728516,1,5
5000,10,2.4261474609375,33.435821533203125,1,3
5000,40,6.412982940673828,18.102645874023438,1,3
5000,100,9.613513946533203,9.220600128173828,1,3
5000,10,2.985715866088867,30.374765396118164,1,5
5000,40,6.283283233642578,19.960880279541016,1,5
5000,100,7.637977600097656,18.242359161376953,1,5
6000,10,6.497621536254883,12.887716293334961,1,3
6000,40,3.0121803283691406,15.373706817626953,1,3
6000,100,9.913921356201172,19.812583923339844,1,3
6000,10,7.96818733215332,21.42024040222168,1,5
6000,40,3.2510757446289062,25.435686111450195,1,5
6000,100,10.77127456665039,34.184932708740234,1,5
7000,10,6.505250930786133,7.227659225463867,1,3
7000,40,10.246038436889648,13.040304183959961,1,3
7000,100,13.420581817626953,17.524242401123047,1,3
7000,10,2.555370330810547,28.64837646484375,1,5
7000,40,7.889986038208008,18.039703369140625,1,5
7000,100,9.506940841674805,20.139217376708984,1,5
8000,10,2.3605823516845703,13.242721557617188,1,3
8000,40,7.329225540161133,15.882015228271484,1,3
8000,100,14.73236083984375,11.371612548828125,1,3
8000,10,3.847360610961914,20.308971405029297,1,5
8000,40,4.416465759277344,27.236223220825195,1,5
8000,100,10.792970657348633,42.272090911865234,1,5
9000,10,4.866361618041992,6.600379943847656,1,3
9000,40,7.835149765014648,12.279987335205078,1,3
9000,100,13.016939163208008,23.64492416381836,1,3
9000,10,2.0720958709716797,34.895896911621094,1,5
9000,40,7.201671600341797,30.048370361328125,1,5
9000,100,10.965347290039062,45.17817497253418,1,5
10000,10,7.444858551025391,20.69544792175293,1,3
10000,40,5.951166152954102,12.943744659423828,1,3
10000,100,19.87934112548828,21.620988845825195,1,3
10000,10,2.848386764526367,34.32893753051758,1,5
10000,40,8.59522819519043,29.174327850341797,1,5
10000,100,20.874500274658203,42.006731033325195,1,5
20000,10,15.445947647094727,12.361526489257812,1,3
20000,40,19.926071166992188,18.633604049682617,1,3
20000,100,32.95087814331055,13.410806655883789,1,3
20000,10,10.582685470581055,48.09713363647461,1,5
20000,40,25.287389755249023,35.53032875061035,1,5
20000,100,33.88166427612305,36.78441047668457,1,5
30000,10,25.734663009643555,11.233329772949219,1,3
30000,40,33.84900093078613,15.987396240234375,1,3
30000,100,56.05721473693848,14.798402786254883,1,3
30000,10,24.7647762298584,24.8260498046875,1,5
30000,40,35.538673400878906,36.107778549194336,1,5
30000,100,40.94672203063965,41.50533676147461,1,5
40000,10,39.179325103759766,11.6424560546875,1,3
40000,40,58.37750434875488,20.775794982910156,1,3
40000,100,82.43894577026367,19.273996353149414,1,3
40000,10,41.04924201965332,30.488967895507812,1,5
40000,40,52.55270004272461,38.182735443115234,1,5
40000,100,76.96342468261719,83.19711685180664,1,5
50000,10,43.77317428588867,15.923738479614258,1,3
50000,40,66.98274612426758,25.644302368164062,1,3
50000,100,97.46623039245605,17.099857330322266,1,3
50000,10,53.12395095825195,52.123308181762695,1,5
50000,40,56.777238845825195,65.42611122131348,1,5
50000,100,99.86472129821777,78.87506484985352,1,5
60000,10,56.68902397155762,15.919685363769531,1,3
60000,40,87.97192573547363,30.904054641723633,1,3
60000,100,128.59797477722168,22.393226623535156,1,3
60000,10,72.4782943725586,34.73234176635742,1,5
60000,40,93.83869171142578,87.04495429992676,1,5
60000,100,131.87742233276367,115.45610427856445,1,5
70000,10,66.98489189147949,16.614198684692383,1,3
70000,40,118.34406852722168,20.93338966369629,1,3
70000,100,163.35177421569824,24.785518646240234,1,3
70000,10,100.75068473815918,41.31817817687988,1,5
70000,40,129.0721893310547,79.5888900756836,1,5
70000,100,180.47595024108887,168.5795783996582,1,5
80000,10,115.28587341308594,15.67387580871582,1,3
80000,40,156.91399574279785,29.386281967163086,1,3
80000,100,218.0938720703125,39.89386558532715,1,3
80000,10,135.93006134033203,60.1806640625,1,5
80000,40,133.3601474761963,101.1357307434082,1,5
80000,100,209.6874713897705,142.61150360107422,1,5
90000,10,158.4944725036621,11.777162551879883,1,3
90000,40,214.09034729003906,26.525497436523438,1,3
90000,100,227.07128524780273,34.757375717163086,1,3
90000,10,180.74440956115723,58.837175369262695,1,5
90000,40,205.3539752960205,99.58529472351074,1,5
90000,100,223.1302261352539,193.53890419006348,1,5
100000,10,170.51100730895996,16.618967056274414,1,3
100000,40,249.83882904052734,22.464513778686523,1,3
100000,100,286.1959934234619,41.17584228515625,1,3
100000,10,197.29280471801758,74.2039680480957,1,5
100000,40,210.41488647460938,116.00685119628906,1,5
100000,100,312.87455558776855,175.93050003051758,1,5
150000,10,379.9152374267578,20.517587661743164,1,3
150000,40,568.2883262634277,40.213823318481445,1,3
150000,100,714.9786949157715,37.50324249267578,1,3
150000,10,410.4483127593994,132.41934776306152,1,5
150000,40,546.9658374786377,147.8748321533203,1,5
150000,100,704.3769359588623,258.29434394836426,1,5
200000,10,746.7746734619141,21.238088607788086,1,3
200000,40,917.2849655151367,20.4927921295166,1,3
200000,100,1118.5529232025146,74.4168758392334,1,3
200000,10,687.9303455352783,162.3251438140869,1,5
200000,40,898.8680839538574,196.23517990112305,1,5
200000,100,1138.462781906128,366.95337295532227,1,5
