method,k,n_points,dimensions,runtime_ms,memory_mb,accuracy,device
FGC,8,100,2,62.660535176595054,63.350260416666664,1.0,GPU
PyTorch_Naive,8,100,2,3.1687418619791665,0.0,1.0,GPU
FGC,8,100,4,12.654781341552734,0.0,1.0,GPU
PyTorch_Naive,8,100,4,1.3852914174397786,0.0,1.0,GPU
PyTorch_Naive,8,100,8,2.1680990854899087,0.0,1.0,GPU
FGC,8,500,2,9.64204470316569,0.6666666666666666,1.0,GPU
PyTorch_Naive,8,500,2,3.0428568522135415,0.0,1.0,GPU
FGC,8,500,4,21.72398567199707,0.0,1.0,GPU
PyTorch_Naive,8,500,4,3.1871795654296875,0.0,1.0,GPU
PyTorch_Naive,8,500,8,3.2678445180257163,0.0,1.0,GPU
FGC,8,1000,2,11.135260264078775,0.0,1.0,GPU
PyTorch_Naive,8,1000,2,2.5256474812825522,0.0,1.0,GPU
FGC,8,1000,4,10.92823346455892,0.0,1.0,GPU
PyTorch_Naive,8,1000,4,2.017815907796224,0.0,1.0,GPU
PyTorch_Naive,8,1000,8,3.3864974975585938,0.0,1.0,GPU
FGC,16,100,2,7.431904474894206,0.0,1.0,GPU
PyTorch_Naive,16,100,2,2.3146470387776694,0.0,1.0,GPU
FGC,16,100,4,8.19865862528483,0.0,1.0,GPU
PyTorch_Naive,16,100,4,1.5350182851155598,0.0,1.0,GPU
PyTorch_Naive,16,100,8,2.0149548848470054,0.0,1.0,GPU
FGC,16,500,2,5.739053090413411,0.0,1.0,GPU
PyTorch_Naive,16,500,2,2.5566418965657554,0.0,1.0,GPU
FGC,16,500,4,11.117696762084961,0.0,1.0,GPU
PyTorch_Naive,16,500,4,3.6223729451497397,0.0,1.0,GPU
PyTorch_Naive,16,500,8,2.6590824127197266,0.0,1.0,GPU
FGC,16,1000,2,5.199035008748372,0.0,1.0,GPU
PyTorch_Naive,16,1000,2,2.377033233642578,0.0,1.0,GPU
FGC,16,1000,4,12.668450673421225,0.0,1.0,GPU
PyTorch_Naive,16,1000,4,2.720991770426432,0.0,1.0,GPU
PyTorch_Naive,16,1000,8,2.3673375447591147,0.0,1.0,GPU
FGC,32,100,2,8.830070495605469,0.0,1.0,GPU
PyTorch_Naive,32,100,2,1.4347235361735027,0.0,1.0,GPU
FGC,32,100,4,31.981547673543293,0.0,1.0,GPU
PyTorch_Naive,32,100,4,2.6897589365641275,0.0,1.0,GPU
PyTorch_Naive,32,100,8,2.3952325185139975,0.0,1.0,GPU
FGC,32,500,2,3.8922627766927085,0.0,0.9999375,GPU
PyTorch_Naive,32,500,2,2.820094426472982,0.0,1.0,GPU
FGC,32,500,4,11.116743087768555,0.0,1.0,GPU
PyTorch_Naive,32,500,4,2.8476715087890625,0.0,1.0,GPU
PyTorch_Naive,32,500,8,3.217776616414388,0.0,1.0,GPU
FGC,32,1000,2,5.791902542114258,0.0,1.0,GPU
PyTorch_Naive,32,1000,2,4.262288411458333,0.0,1.0,GPU
FGC,32,1000,4,11.365969975789389,0.0,1.0,GPU
PyTorch_Naive,32,1000,4,3.294706344604492,0.6666666666666666,1.0,GPU
PyTorch_Naive,32,1000,8,1.8669764200846355,0.0,1.0,GPU
